sep=,
sigma,max_mult,taux_reussite
0.500000,6,36.335878
0.437500,6,42.442748
0.375000,6,60.152672
0.312500,6,83.206107
0.250000,6,95.572519
0.187500,6,99.847328
0.125000,6,100.000000
